variant,feature,coordinate,mean,std
A,state,0,-0.03306029736995697,0.0865725725889206
A,state,1,0.10929723083972931,0.0890413373708725
A,state,2,1.0217833518981934,0.08275106549263
A,state,3,3.0715737342834473,0.06665709614753723
A,state,4,-0.160153329372406,0.21619053184986115
A,state,5,0.028787890449166298,0.14972515404224396
A,state,6,0.018900960683822632,0.017101887613534927
A,state,7,-0.01905772276222706,0.01695474423468113
A,actions,0,0.10398540645837784,0.30294302105903625
A,actions,1,0.13174082338809967,0.23627464473247528
A,actions,2,-0.06851896643638611,0.46665456891059875
A,actions,3,-0.0017058743396773934,0.026211094111204147
A,actions,4,-0.011903475038707256,0.06491240113973618
A,actions,5,-0.03432469815015793,0.036666132509708405
A,actions,6,0.1475788950920105,0.9890502691268921
B,state,0,-0.01937662437558174,0.0826834887266159
B,state,1,0.1478510946035385,0.09105002880096436
B,state,2,1.0250368118286133,0.08713255077600479
B,state,3,3.08306884765625,0.09060478955507278
B,state,4,-0.29628458619117737,0.3642335832118988
B,state,5,0.12546850740909576,0.19907164573669434
B,state,6,0.020939037203788757,0.01712176389992237
B,state,7,-0.020912855863571167,0.017042355611920357
B,actions,0,0.0879444032907486,0.31432056427001953
B,actions,1,0.0740981325507164,0.28248003125190735
B,actions,2,-0.05082982778549194,0.5003886818885803
B,actions,3,-0.0015368172898888588,0.033420201390981674
B,actions,4,-0.0005032463232055306,0.0790768638253212
B,actions,5,-0.04035006836056709,0.04769376665353775
B,actions,6,0.044942114502191544,0.9989895820617676
C,state,0,-0.05554113909602165,0.09540418535470963
C,state,1,0.13376489281654358,0.0933847650885582
C,state,2,1.0276672840118408,0.08584936708211899
C,state,3,3.07364559173584,0.08750458061695099
C,state,4,-0.2175063192844391,0.3365471363067627
C,state,5,0.03018728457391262,0.2377166599035263
C,state,6,0.02103721722960472,0.017056940123438835
C,state,7,-0.021022776141762733,0.016968604177236557
C,actions,0,0.030103515833616257,0.3117639124393463
C,actions,1,0.1029302254319191,0.2843804955482483
C,actions,2,-0.02109348587691784,0.5136153697967529
C,actions,3,-0.0034464935306459665,0.0315135233104229
C,actions,4,0.00661606527864933,0.07182072103023529
C,actions,5,-0.03327961266040802,0.04700459539890289
C,actions,6,0.031058669090270996,0.999517560005188
