variant,train_set,updates,task,seen,n,successes,success_rate,mean_episode_length,ci_low,ci_high
A,D0,0,D0,True,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
A,D0,0,D1,False,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
A,D0,0,D2,False,50,0,0.0,280.0,6.938893903907228e-18,0.07134759913335872
A,D0,500,D0,True,50,2,0.04,217.4,0.011038884327619805,0.1346009068750702
A,D0,500,D1,False,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
A,D0,500,D2,False,50,0,0.0,280.0,6.938893903907228e-18,0.07134759913335872
A,D0,3001,D0,True,50,35,0.7,138.46,0.562496495355466,0.8089644649911906
A,D0,3001,D1,False,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
A,D0,3001,D2,False,50,0,0.0,280.0,6.938893903907228e-18,0.07134759913335872
A,D0,3001,H1,False,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
A,D0,3001,H2,False,50,0,0.0,280.0,6.938893903907228e-18,0.07134759913335872
B,D0 + D1,0,D0,True,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
B,D0 + D1,0,D1,True,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
B,D0 + D1,0,D2,False,50,0,0.0,280.0,6.938893903907228e-18,0.07134759913335872
B,D0 + D1,3001,D0,True,50,28,0.56,170.7,0.4230602802165686,0.6883780078874284
B,D0 + D1,3001,D1,True,50,9,0.18,198.9,0.09770192670234178,0.30796053674300783
B,D0 + D1,3001,D2,False,50,0,0.0,280.0,6.938893903907228e-18,0.07134759913335872
B,D0 + D1,3001,H1,False,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
B,D0 + D1,3001,H2,False,50,0,0.0,280.0,6.938893903907228e-18,0.07134759913335872
C,D0 + D1 + D2,0,D0,True,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
C,D0 + D1 + D2,0,D1,True,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
C,D0 + D1 + D2,0,D2,True,50,0,0.0,280.0,6.938893903907228e-18,0.07134759913335872
C,D0 + D1 + D2,3001,D0,True,50,21,0.42,173.42,0.2937500335471198,0.5576655823142176
C,D0 + D1 + D2,3001,D1,True,50,19,0.38,173.5,0.25862789310193596,0.5184955306900703
C,D0 + D1 + D2,3001,D2,True,50,31,0.62,161.0,0.4815044693099298,0.7413721068980641
C,D0 + D1 + D2,3001,H1,False,50,0,0.0,220.0,6.938893903907228e-18,0.07134759913335872
C,D0 + D1 + D2,3001,H2,False,50,0,0.0,280.0,6.938893903907228e-18,0.07134759913335872
