model,action_kind,n_states,actions_per_state,mean_l1,mean_l2,dim_0_mae,dim_1_mae,dim_2_mae,dim_3_mae,dim_4_mae,dim_5_mae,dim_6_mae
0,chunks,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,executed,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,chunks,10,50,1.7934873761853911,1.0627979112558466,0.3353330049920238,0.2827008453873441,0.26369330249863576,0.009572810629196958,0.03412299638568369,0.011796594584356971,0.8562678217081499
500,executed,10,5,1.5705524682998657,1.0465209484100342,0.337438702583313,0.06351225823163986,0.16621209681034088,0.012074535712599754,0.04236561432480812,0.00943672563880682,0.9395125508308411
1000,chunks,10,50,2.1533840055024296,1.2800517656714094,0.38542898642317136,0.25019037703788094,0.41269626839920454,0.009920839534531769,0.04234529287458689,0.019509135702231582,1.0332931055308228
1000,executed,10,5,2.029371500015259,1.3000268936157227,0.5976560711860657,0.08517507463693619,0.1497090458869934,0.013202168047428131,0.03798805549740791,0.02305729314684868,1.1225837469100952
2000,chunks,10,50,2.0792975446437585,1.2670238964175458,0.42963788213120085,0.2530926095069622,0.2692788634652333,0.009718698932647055,0.041450134361144315,0.014528580562513622,1.0615907756840575
2000,executed,10,5,1.8483374118804932,1.2538427114486694,0.39743804931640625,0.0955963060259819,0.10090833902359009,0.019004998728632927,0.052198633551597595,0.022656066343188286,1.1605350971221924
3001,chunks,10,50,2.1904931587462797,1.3062646236598687,0.4321167279770933,0.27667482380105957,0.3491373013509244,0.010779846292839072,0.040641988766459296,0.015926900210119492,1.0652155703477844
3001,executed,10,5,1.9632104635238647,1.2752729654312134,0.4364212453365326,0.12600934505462646,0.15379515290260315,0.021216170862317085,0.045223418623209,0.02311468869447708,1.1574302911758423
lora_initialization,chunks,10,50,0.07557406145193248,0.04646567931259527,0.02648101543431909,0.014017246460641893,0.02227073894444881,0.000918469267111822,0.0030165104556912404,0.001129783553738897,0.0077402973359807295
lora_initialization,executed,10,5,0.026066560298204422,0.015209635719656944,0.0037090631667524576,0.00477518979460001,0.007361292373389006,0.00046381179708987474,0.002217907691374421,0.00021996874420437962,0.007319329306483269
