model,label,task,n,successes,success_rate_percent,wilson95_low_percent,wilson95_high_percent,mean_episode_length,reach_count,grasp_count,lift_count,success_count
0,Pre-SFT (official weights + D0 statistics),D0,50,0,0.0,6.938893903907228e-16,7.134759913335873,220.0,0,0,0,0
0,Pre-SFT (official weights + D0 statistics),D1,50,0,0.0,6.938893903907228e-16,7.134759913335873,220.0,9,0,5,0
500,500 D0 updates,D0,50,3,6.0,2.061497034897397,16.217091688838174,215.8,35,7,7,3
500,500 D0 updates,D1,50,0,0.0,6.938893903907228e-16,7.134759913335873,220.0,0,0,0,0
1000,"1,000 D0 updates",D0,50,2,4.0,1.1038884327619805,13.46009068750702,215.82,48,8,8,2
1000,"1,000 D0 updates",D1,50,0,0.0,6.938893903907228e-16,7.134759913335873,220.0,0,0,0,0
2000,"2,000 D0 updates",D0,50,25,50.0,36.64451431682858,63.35548568317142,171.48,45,29,33,25
2000,"2,000 D0 updates",D1,50,0,0.0,6.938893903907228e-16,7.134759913335873,220.0,9,0,1,0
3001,"3,001 D0 updates",D0,50,38,76.0,62.58731624205708,85.70260860300827,140.42,50,48,49,38
3001,"3,001 D0 updates",D1,50,0,0.0,6.938893903907228e-16,7.134759913335873,220.0,0,0,0,0
lora_initialization,LoRA initialization (0 updates),D0,50,0,0.0,6.938893903907228e-16,7.134759913335873,220.0,0,0,0,0
lora_initialization,LoRA initialization (0 updates),D1,50,0,0.0,6.938893903907228e-16,7.134759913335873,220.0,8,1,11,0
positive_control,Official pi0.5 LIBERO (positive control),D0,50,50,100.0,92.86524008666413,100.0,97.84,50,49,50,50
positive_control,Official pi0.5 LIBERO (positive control),D1,50,47,94.0,83.78290831116182,97.9385029651026,105.66,47,45,47,47
